Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4-(trifluoromethyl)phenyl β-d-galactopyranoside,2.97115,1032.61629,-1.39,-0.1159,324.08207,1.22727,0.41591,0.53846,4,6,0.53986,25.08338,12.33293,5.19994,0.98209,0.53846,-1.39,0.00103,5.91335,6.38659,3.49944,0.18842,0.91797,0,1,1,0,1,0,1,6,4,9,1,6,4,2,7,0,1,1,0.79433,894.09369,0.21213,99.38
4-nitrophenyl β-d-galactopyranoside,2.9684,1032.84442,-1.78,-1.2265,301.07977,1.38095,0.2692,0.5,4,9,0.59488,24.7132,12.10474,4.97175,0.98669,0.5,-1.78,0.00149,5.14365,6.32782,3.28147,0.16259,0.96526,0,1,1,0,1,0,1,8,4,9,1,9,4,2,8,0,1,1,0.83102,648.58843,0.24305,142.52
3-methylphenyl ß-d-glucopyranoside,3.00942,1050.16589,-1.18,-0.82628,270.11034,1.47368,0.22872,0.53846,4,6,0.27312,26.94949,13.26599,4.63299,0.93232,0.53846,-1.18,0.0009,3.71871,5.85223,3.04695,0.36164,0.83985,0,1,1,0,1,0,1,6,4,6,1,6,4,2,8,0,1,1,0.84105,934.96287,0.26717,99.38
3-methoxyphenyl ß-d-glucopyranoside,2.96447,1068.30491,-1.38,-1.1261,286.10525,1.4,0.22872,0.53846,4,7,0.41799,27.35774,13.42423,4.79124,0.96643,0.53846,-1.38,0.00102,4.08464,6.38,3.02382,0.25693,0.87623,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.80698,862.22004,0.19687,108.61
3-hydroxyphenyl ß-d-glucopyranoside,2.96376,980.94595,-1.38,-1.4291,272.0896,1.36842,0.2931,0.5,5,7,0.42867,24.85774,12.12836,4.58712,0.96678,0.5,-1.38,0.00141,4.06082,5.72238,2.96396,0.25561,0.96067,0,1,1,0,1,0,1,7,5,7,1,7,5,2,8,0,1,1,0.86788,682.716,0.29057,119.61
3-bromophenyl β-d-galactopyranoside,2.95217,939.29243,-0.7,-0.3722,334.0052,1.42105,0.22872,0.5,4,6,0.36275,23.82745,11.70497,5.36497,0.95574,0.5,-0.7,0.00083,4.65538,6.16731,3.24997,0.29421,0.89047,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,1.07391,1069.42396,0.45997,99.38
2-bromophenyl β-d-galactopyranoside,2.95217,939.29243,-0.7,-0.3722,334.0052,1.36842,0.22878,0.5,4,6,0.25642,23.82745,11.70497,5.36497,0.92481,0.5,-0.7,0.00065,4.65538,6.16731,3.07338,0.38043,0.75348,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,0.73542,1159.95727,0.19212,99.38
3-acetamidophenyl ß-d-galactopyranoside,2.99225,1199.78967,-1.71,-1.1763,313.11615,1.59091,0.22872,0.5,5,8,0.37403,29.30495,14.36454,5.28433,0.95785,0.5,-1.71,0.0008,4.65106,7.03333,3.72935,0.28728,0.90615,0,1,1,1,1,0,1,7,5,8,1,8,5,2,9,0,1,1,0.89325,1130.96726,0.24266,128.48
4-trifluoromethoxyphenyl ß-d-glucopyranoside,2.91993,1050.75531,-1.59,-0.2361,340.07699,1.17391,0.5726,0.53846,4,7,0.69259,25.49163,12.49118,5.35819,0.99313,0.53846,-1.59,0.00134,6.37276,6.88876,4.45387,0.11705,0.97168,0,1,1,0,1,0,1,7,4,10,1,7,4,2,8,0,1,1,0.92649,727.11218,0.22849,108.61
phenyl alpha-d-glucopyranoside,2.95217,933.89579,-1.18,-1.1347,256.09469,1.27778,0.22872,0.5,4,6,0.27848,24.44949,12.01599,4.38299,0.93409,0.5,-1.18,0.00103,3.68037,5.64026,2.62777,0.35705,0.82609,0,1,1,0,1,0,1,6,4,6,1,6,4,2,7,0,1,1,1.0333,802.89873,0.39346,99.38
